name,year,place,type,mass,coordinates,latitude,longitude
hunsrück is a synonym for gibeon (from metbase),,,,,,,
hunsrück is a synonym for simmern (in nhm cat),,,,,,,
huntsman (a) is a synonym for huntsman (syn created by discovery of (b) stone),,,,,,,
hvittas is a synonym for hvittis (from metbase),,,,,,,
hyderabad is a synonym for alwal (in nhm cat),,,,,,,
hyen is a synonym for mjelleim (in nhm cat),,,,,,,
iamysheva is a synonym for pavlodar (pallasite) (in nhm cat),,,,,,,
iardymlinskii is a synonym for yardymly (in nhm cat),,,,,,,
ibbenbühren is a synonym for ibbenbüren (in nhm cat),,,,,,,
iferouane is a synonym for aïr (in nhm cat),,,,,,,
iglau is a synonym for stannern (in nhm cat),,,,,,,
iharaota is a synonym for lalitpur (in nhm cat),,,,,,,
ihung is a synonym for jhung (in nhm cat),,,,,,,
ikharene is a synonym for ikhrarene (in nhm cat),,,,,,,
il'inskaia stanitsa is a synonym for ilinskaya stanitza (in nhm cat),,,,,,,
ilimaë is a synonym for ilimaes (iron) (in nhm cat),,,,,,,
ilimaes (pallasite) is a synonym for imilac (in nhm cat),,,,,,,
illinois is a synonym for admire (in nhm cat),,,,,,,
imilac 001 is a synonym for imilac (namesake of new dca),,,,,,,
imilchil is a synonym for agoudal (commercial synonym),,,,,,,
in salah is a synonym for acfer 001 (from metbase),,,,,,,
inca is a synonym for tamarugal (in nhm cat),,,,,,,
inca is a synonym for vaca muerta (in nhm cat),,,,,,,
indarh is a synonym for indarch (in nhm cat),,,,,,,
indarkh is a synonym for indarch (in nhm cat),,,,,,,
independence is a synonym for kenton county (in nhm cat),,,,,,,
independence county is a synonym for joe wright mountain (in nhm cat),,,,,,,
ingast is a synonym for igast (in nhm cat),,,,,,,
inner monglia is a synonym for inner mongolia (an apparent typo in the catalogue of meteorites),,,,,,,
inningen is a synonym for sikhote-alin (discredited name 24 oct 2011),,,,,,,
invercargill is a synonym for makarewa (in nhm cat),,,,,,,
ioluca is a synonym for toluca (in nhm cat),,,,,,,
iowa is a synonym for marion (iowa) (in nhm cat),,,,,,,
iowa is a synonym for estherville (in nhm cat),,,,,,,
iowa is a synonym for forest city (in nhm cat),,,,,,,
iowa county is a synonym for homestead (in nhm cat),,,,,,,
ipiringa is a synonym for ipiranga (in nhm cat),,,,,,,
irapuato is a synonym for la charca (in nhm cat),,,,,,,
irkutsk is a synonym for doroninsk (in nhm cat),,,,,,,
irkutsk is a synonym for tounkin (in nhm cat),,,,,,,
ironhannock creek is a synonym for tomhannock creek (in nhm cat),,,,,,,
irwin is a synonym for tucson (in nhm cat),,,,,,,
irwin-ainsa iron is a synonym for tucson (in nhm cat),,,,,,,
isaacs river is a synonym for le gould's stone (in nhm cat),,,,,,,
isle de france is a synonym for mauritius (in nhm cat),,,,,,,
isonzo is a synonym for avce (in nhm cat),,,,,,,
isonzothal is a synonym for avce (in nhm cat),,,,,,,
itchkala is a synonym for ichkala (in nhm cat),,,,,,,
itschkala is a synonym for ichkala (in nhm cat),,,,,,,
itumi is a synonym for gifu (in nhm cat),,,,,,,
iudoma is a synonym for yudoma (in nhm cat),,,,,,,
iuknov is a synonym for timochin (in nhm cat),,,,,,,
iurtuk is a synonym for yurtuk (in nhm cat),,,,,,,
iurtyk is a synonym for yurtuk (in nhm cat),,,,,,,
ivanova is a synonym for pervomaisky (from metbase),,,,,,,
ivanovo is a synonym for pervomaisky (in nhm cat),,,,,,,
iwa is a synonym for gifu (in nhm cat),,,,,,,
iwate is a synonym for kesen (in nhm cat),,,,,,,
iwati is a synonym for takenouchi (in nhm cat),,,,,,,
ixtlahuaca is a synonym for toluca (in nhm cat),,,,,,,
izumi is a synonym for gifu (in nhm cat),,,,,,,
jacala is a synonym for pacula (in nhm cat),,,,,,,
jadani is a synonym for zsadany (from metbase),,,,,,,
jafferabad is a synonym for bherai (in nhm cat),,,,,,,
jah 212 is a synonym for jah 103 (duplicate meteorite),,,,,,,
jah 213 is a synonym for jah 101 (duplicate meteorite),,,,,,,
jah 321 is a synonym for jah 120 (duplicate meteorite),,,,,,,
jah 322 is a synonym for jah 121 (duplicate meteorite),,,,,,,
jah 5701 is a synonym for jiddat al harasis 571 (released under jah 5701 incorrectly),,,,,,,
jah 5702 is a synonym for jiddat al harasis 659 (released under jah 5702 incorrectly),,,,,,,
jah 935 is a synonym for jah 818 (duplicate meteorite),,,,,,,
jah 936 is a synonym for jah 830 (duplicate meteorite),,,,,,,
jaj-khot-laulu is a synonym for jajh deh kot lalu (in nhm cat),,,,,,,
jalisco is a synonym for tomatlan (in nhm cat),,,,,,,
jamaica is a synonym for lucky hill (in nhm cat),,,,,,,
jamyscheva is a synonym for pavlodar (pallasite) (in nhm cat),,,,,,,
jamyseva is a synonym for pavlodar (pallasite) (in nhm cat),,,,,,,
janacera pass is a synonym for vaca muerta (in nhm cat),,,,,,,
japan is a synonym for ogi (in nhm cat),,,,,,,
jardymlinsky is a synonym for yardymly (in nhm cat),,,,,,,
jarquera is a synonym for vaca muerta (in nhm cat),,,,,,,
jarso is a synonym for nejo (in nhm cat),,,,,,,
jaska is a synonym for slavetic (in nhm cat),,,,,,,
jaski is a synonym for bialystok (in nhm cat),,,,,,,
jasli is a synonym for bialystok (in nhm cat),,,,,,,
jasly is a synonym for bialystok (in nhm cat),,,,,,,
jataha bazar is a synonym for butsura (in nhm cat),,,,,,,
jdiriya 001 is a synonym for jdiriya (first meteorite in new dca),,,,,,,
jefferson is a synonym for bear creek (in nhm cat),,,,,,,
jefferson city is a synonym for little piney (in nhm cat),,,,,,,
jefferson county is a synonym for bear creek (in nhm cat),,,,,,,
jekaterinoslav is a synonym for augustinovka (in nhm cat),,,,,,,
jekaterinoslav is a synonym for pavlograd (in nhm cat),,,,,,,
jelenowka is a synonym for elenovka (in nhm cat),,,,,,,
jeliza is a synonym for jelica (in nhm cat),,,,,,,
jeminay 001 is a synonym for jeminay (first meteorite in dca),,,,,,,
jennies creek is a synonym for jenny's creek (in nhm cat),,,,,,,
jewel hill is a synonym for duel hill (1854) (in nhm cat),,,,,,,
jewel hill is a synonym for duel hill (1873) (in nhm cat),,,,,,,
jewell hill is a synonym for duel hill (1854) (in nhm cat),,,,,,,
jezevica is a synonym for jelica (in nhm cat),,,,,,,
jhalrapatan is a synonym for tonk (in nhm cat),,,,,,,
jhang is a synonym for jhung (in nhm cat),,,,,,,
jharaota is a synonym for lalitpur (in nhm cat),,,,,,,
jiddat al harasis 212 is a synonym for jiddat al harasis 103 (duplicate meteorite),,,,,,,
jiddat al harasis 213 is a synonym for jiddat al harasis 101 (duplicate meteorite),,,,,,,
jiddat al harasis 321 is a synonym for jiddat al harasis 120 (duplicate meteorite),,,,,,,
jiddat al harasis 322 is a synonym for jiddat al harasis 121 (duplicate meteorite),,,,,,,
jiddat al harasis 5701 is a synonym for jiddat al harasis 571 (released under jah 5701 incorrectly),,,,,,,
jiddat al harasis 5702 is a synonym for jiddat al harasis 659 (released under jah 5702 incorrectly),,,,,,,
jiddat al harasis 935 is a synonym for jiddat al harasis 818 (duplicate meteorite),,,,,,,
jiddat al harasis 936 is a synonym for jiddat al harasis 830 (duplicate meteorite),,,,,,,
jigalovka is a synonym for kharkov (in nhm cat),,,,,,,
jigalowka is a synonym for kharkov (in nhm cat),,,,,,,
jilantai is a synonym for jartai (in nhm cat),,,,,,,
jimenez is a synonym for sierra blanca (in nhm cat),,,,,,,
jimenez is a synonym for chupaderos (in nhm cat),,,,,,,
jimshan is a synonym for al-jimshan (in nhm cat),,,,,,,
jiquipilco is a synonym for toluca (in nhm cat),,,,,,,
joe wright mountain ii is a synonym for sandtown (in nhm cat),,,,,,,
johanngeorgenstadt is a synonym for steinbach (in nhm cat),,,,,,,
johnson is a synonym for johnson city (in nhm cat),,,,,,,
johnson county is a synonym for cabin creek (in nhm cat),,,,,,,
jonstown is a synonym for johnstown (in nhm cat),,,,,,,
joremenyseg-fok is a synonym for cape of good hope (in nhm cat),,,,,,,
joundegin is a synonym for youndegin (in nhm cat),,,,,,,
joutnevy is a synonym for zhovtnevyi (from metbase),,,,,,,
