Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
Yamato 790069,Y-790069,Official,,1979,Antarctica,H4,11.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790070,Y-790070,Official,,1979,Antarctica,H4,11 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790071,Y-790071,Official,,1979,Antarctica,H4,9.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790072,Y-790072,Official,,1979,Antarctica,H4,10.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790073,Y-790073,Official,,1979,Antarctica,H4,8.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790074,Y-790074,Official,,1979,Antarctica,H4,9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790075,Y-790075,Official,,1979,Antarctica,H4,9.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790076,Y-790076,Official,,1979,Antarctica,H4,5.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790077,Y-790077,Official,,1979,Antarctica,H4,6.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790078,Y-790078,Official,,1979,Antarctica,H4,5.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790079,Y-790079,Official,,1979,Antarctica,H4,5.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790080,Y-790080,Official,,1979,Antarctica,H4,7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790081,Y-790081,Official,,1979,Antarctica,H4,4.22 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790082,Y-790082,Official,,1979,Antarctica,H4,5.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790083,Y-790083,Official,,1979,Antarctica,H4,5.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790084,Y-790084,Official,,1979,Antarctica,H4,5.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790085,Y-790085,Official,,1979,Antarctica,H4,6.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790086,Y-790086,Official,,1979,Antarctica,H4,3.93 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790087,Y-790087,Official,,1979,Antarctica,H4,4.17 g,, NIPR,"(-71.500000, 35.666670)  ",,
