Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",Notes,,,
Los Vientos 433,LoV 433,Official,,2020,"Antofagasta, Chile",H5§,77 g,110,,"(-24.656970, -69.797890)  ",,,"(-24.656970, -69.797890)  ","(-24.656970, -69.797890)  "
Los Vientos 452,LoV 452,Official,,2020,"Antofagasta, Chile",H4,329 g,110,,"(-24.635330, -69.837890)  ",,,"(-24.635330, -69.837890)  ","(-24.635330, -69.837890)  "
Los Vientos 464 **,LoV 464,Official,,2020,"Antofagasta, Chile",H5,353 g,111,,"(-24.616720, -69.877640)  ",,,"(-24.616720, -69.877640)  ","(-24.616720, -69.877640)  "
Los Vientos 471,LoV 471,Official,,2020,"Antofagasta, Chile",H6§,100 g,111,,"(-24.702780, -69.988330)  ",,,"(-24.702780, -69.988330)  ","(-24.702780, -69.988330)  "
Los Vientos 472,LoV 472,Official,,2020,"Antofagasta, Chile",H6§,142 g,111,,"(-24.702220, -69.988060)  ",,,"(-24.702220, -69.988060)  ","(-24.702220, -69.988060)  "
Los Vientos 476,LoV 476,Official,,2020,"Antofagasta, Chile",L6§,474 g,112,,"(-24.683330, -69.766670)  ",,,"(-24.683330, -69.766670)  ","(-24.683330, -69.766670)  "
Los Vientos 477,LoV 477,Official,,2020,"Antofagasta, Chile",L6§,826 g,112,,"(-24.855000, -69.908330)  ",,,"(-24.855000, -69.908330)  ","(-24.855000, -69.908330)  "
Los Vientos 555,LoV 555,Official,,2020,"Antofagasta, Chile",H6,715 g,113,,"(-24.563470, -69.840580)  ",,,"(-24.563470, -69.840580)  ","(-24.563470, -69.840580)  "
Los Vientos 556,LoV 556,Official,,2020,"Antofagasta, Chile",H5,36 g,113,,"(-24.667080, -69.755920)  ",,,"(-24.667080, -69.755920)  ","(-24.667080, -69.755920)  "
Lut 019,,Official,,2020,"Kerman, Iran",L6§,13 kg,112,,"(30.921280, 58.717410)  ",,,"(30.921280, 58.717410)  ","(30.921280, 58.717410)  "
Madura Cave **,,Official,Yc,2020,"Western Australia, Australia",L5,1072 g,110,,"(-31.965570, 126.984380)  ",,,"(-31.965570, 126.984380)  ","(-31.965570, 126.984380)  "
Marsa Alam 020,MA 020,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,285 g,109,,"(25.076330, 34.861000)  ",,,"(25.076330, 34.861000)  ","(25.076330, 34.861000)  "
Marsa Alam 021,MA 021,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,9.8 g,109,,"(25.324670, 34.721500)  ",,,"(25.324670, 34.721500)  ","(25.324670, 34.721500)  "
Marsa Alam 022,MA 022,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,65.7 g,109,,"(25.321830, 34.726330)  ",,,"(25.321830, 34.726330)  ","(25.321830, 34.726330)  "
Marsa Alam 023,MA 023,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,7.7 g,109,,"(25.325000, 34.721170)  ",,,"(25.325000, 34.721170)  ","(25.325000, 34.721170)  "
Marsa Alam 024,MA 024,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,8.3 g,109,,"(25.009000, 34.902500)  ",,,"(25.009000, 34.902500)  ","(25.009000, 34.902500)  "
Marsa Alam 025,MA 025,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,34.5 g,110,,"(24.715500, 35.031170)  ",,,"(24.715500, 35.031170)  ","(24.715500, 35.031170)  "
Marsa Alam 026,MA 026,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,28.5 g,110,,"(24.924000, 34.925500)  ",,,"(24.924000, 34.925500)  ","(24.924000, 34.925500)  "
Marsa Alam 027,MA 027,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,46 g,110,,"(24.924170, 34.926170)  ",,,"(24.924170, 34.926170)  ","(24.924170, 34.926170)  "
Marsa Alam 028,MA 028,Official,,2020,"Al Bahr al Ahmar, Egypt",L6,21.7 g,110,,"(24.925670, 34.914170)  ",,,"(24.925670, 34.914170)  ","(24.925670, 34.914170)  "
Marsa Alam 029,MA 029,Official,,2020,"Al Bahr al Ahmar, Egypt",L5,0.87 g,110,,"(25.127170, 34.833670)  ",,,"(25.127170, 34.833670)  ","(25.127170, 34.833670)  "
Marsa Alam 030,MA 030,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,325 g,110,,"(25.099830, 34.849330)  ",,,"(25.099830, 34.849330)  ","(25.099830, 34.849330)  "
Marsa Alam 031,MA 031,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,87 g,110,,"(24.709670, 35.024830)  ",,,"(24.709670, 35.024830)  ","(24.709670, 35.024830)  "
Marsa Alam 032 **,MA 032,Official,,2020,"Al Bahr al Ahmar, Egypt",H6,8.8 g,112,,"(25.119620, 34.825740)  ",,,"(25.119620, 34.825740)  ","(25.119620, 34.825740)  "
Marsa Alam 033 **,MA 033,Official,,2020,"Al Bahr al Ahmar, Egypt",H5,52 g,112,,"(24.927980, 34.931020)  ",,,"(24.927980, 34.931020)  ","(24.927980, 34.931020)  "
Mdaouer 002 **,,Official,,2020,Morocco,L6-melt breccia,95 g,110,,"(29.845560, -6.929720)  ",,,"(29.845560, -6.929720)  ","(29.845560, -6.929720)  "
Monte Costone **,,Official,,2020,"Lombardia, Italy",H5,224 g,113,,"(45.776170, 9.721670)  ",,,"(45.776170, 9.721670)  ","(45.776170, 9.721670)  "
Narashino **,,Official,Yc,2020,"Kanto, Japan",H5,350 g,109,,"(35.690560, 140.030830)  ",,,"(35.690560, 140.030830)  ","(35.690560, 140.030830)  "
Niuquanhu 001 **,,Official,,2020,"Xinjiang, China",L5§,3.2 kg,113,,"(43.964530, 94.493660)  ",,,"(43.964530, 94.493660)  ","(43.964530, 94.493660)  "
Northeast Africa 009 **,NEA 009,Official,,2020,Libya,Martian (shergottite),245 g,109,,,,,,
Northeast Africa 011 **,NEA 011,Official,,2020,Libya,Martian (shergottite),161.2 g,109,,,,,,
Northeast Africa 013 **,NEA 013,Official,,2020,(Northeast Africa),Diogenite,3.25 kg,109,,,,,,
Northeast Africa 014 **,NEA 014,Official,,2020,Libya,Lunar (feldsp. breccia),1601 g,109,,,,,,
Northeast Africa 015 **,NEA 015,Official,,2020,Libya,Martian (shergottite),610 g,109,,,,,,
Northeast Africa 017 **,NEA 017,Official,,2020,Libya,Diogenite-pm,275 g,110,,,,,,
Northeast Africa 018 **,NEA 018,Official,,2020,Libya,LL3,748 g,110,,,,,,
Northeast Africa 020 **,NEA 020,Official,,2020,Libya,LL4-7,167 g,110,,,,,,
Northeast Africa 021 **,NEA 021,Official,,2020,Libya,LL3,99.7 g,110,,,,,,
Northeast Africa 022 **,NEA 022,Official,,2020,Libya,LL3,694 g,110,,,,,,
Northeast Africa 023 **,NEA 023,Official,,2020,Libya,LL7,486 g,110,,,,,,
Northeast Africa 024 **,NEA 024,Official,,2020,Libya,LL3,98.6 g,110,,,,,,
Northeast Africa 026 **,NEA 026,Official,,2020,Libya,CO3,176 g,110,,,,,,
Northeast Africa 028 **,NEA 028,Official,,2020,Libya,CO3,93 g,110,,,,,,
Northeast Africa 033 **,NEA 033,Official,,2020,Libya,L5,252 g,110,,,,,,
Northeast Africa 034 **,NEA 034,Official,,2020,Libya,LL3,253 g,110,,,,,,
Northwest Africa 13202 **,NWA 13202,Official,,2020,(Northwest Africa),Chondrite-ung,396 g,109,,,,,,
Northwest Africa 13203 **,NWA 13203,Official,,2020,(Northwest Africa),L4,6.98 kg,109,,,,,,
Northwest Africa 13236 **,NWA 13236,Official,,2020,(Northwest Africa),LL6-melt breccia,708 g,109,,,,,,
Northwest Africa 13267 **,NWA 13267,Official,,2020,(Northwest Africa),L6-melt breccia,4.15 kg,109,,,,,,
Northwest Africa 13297 **,NWA 13297,Official,,2020,Algeria,LL3,1973 g,109,,,,,,
Northwest Africa 13298 **,NWA 13298,Official,,2020,Morocco,LL3,730 g,109,,,,,,
Northwest Africa 13299 **,NWA 13299,Official,,2020,Algeria,EH3,299 g,109,,,,,,
Northwest Africa 13302 **,NWA 13302,Official,,2020,Morocco,Mesosiderite-A3,403 g,109,,,,,,
Northwest Africa 13306 **,NWA 13306,Official,,2020,(Northwest Africa),Lunar (feldsp. breccia),1560 g,109,,,,,,
Northwest Africa 13307 **,NWA 13307,Official,,2020,(Northwest Africa),Achondrite-ung,467 g,109,,,,,,
Northwest Africa 13310 **,NWA 13310,Official,,2020,(Northwest Africa),Eucrite-br,441 g,109,,,,,,
Northwest Africa 13314 **,NWA 13314,Official,,2020,(Northwest Africa),Eucrite-br,2.75 kg,109,,,,,,
Northwest Africa 13323 **,NWA 13323,Official,,2020,(Northwest Africa),CK3,3.96 kg,109,,,,,,
Northwest Africa 13324 **,NWA 13324,Official,,2020,(Northwest Africa),LL3.15,5 kg,109,,,,,,
Northwest Africa 13327 **,NWA 13327,Official,,2020,(Northwest Africa),Martian (shergottite),346 g,109,,,,,,
