name,reclass,mass,fall,year,latitude,longitude,coordinates,,decade,address,ccode,country
northwest africa 13236 **,ll6-melt breccia,708 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13267 **,l6-melt breccia,4.15 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13297 **,ll3,1973 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 13298 **,ll3,730 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 13299 **,eh3,299 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 13302 **,mesosiderite-a3,403 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 13306 **,lunar (feldsp. breccia),1560 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13307 **,achondrite-ung,467 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13310 **,eucrite-br,441 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13314 **,eucrite-br,2.75 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13323 **,ck3,3.96 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13324 **,ll3.15,5 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13327 **,martian (shergottite),346 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13328 **,ll4-5 melt breccia,650 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13329 **,co3,360 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13331 **,h7,563 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13336 **,cr2,290 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13344 **,eucrite,7.7 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13345 **,howardite,1245 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13346 **,lunar (feldsp. breccia),48.7 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13348 **,ch3,69 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13351 **,achondrite-ung,4.87 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13353 **,co3,222 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 13354 **,lodranite,240 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13355 **,eucrite-an,672 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13357 **,ck3-6,38.9 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 13359 **,eucrite-pmict,96 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13360 **,martian (shergottite),187 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13362 **,martian (shergottite),4 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13363 **,angrite,54 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
